map,name,rating,no of rating,type,address,Latitude,Longitude
https://www.google.com/maps/place/Prithvi+Cafe/data=!4m7!3m6!1s0x3be7c9ea57688fa3:0xefc0e4027133d0bc!8m2!3d19.1061284!4d72.8258128!16s%2Fg%2F11r902nyx!19sChIJo49oV-rJ5zsRvNAzcQLkwO8?authuser=0&hl=en&rclk=1,Prithvi Cafe,4.4,"-17,302",other,"20, Janki Kutir Apartment, Alongside Prithvi Theatre, Juhu Church Rd",19.1061284,72.8258128
https://www.google.com/maps/place/Le+Cafe/data=!4m7!3m6!1s0x3be7c77779897883:0x9abb47495273443!8m2!3d19.0615942!4d72.899741!16s%2Fg%2F11h40ygmdy!19sChIJg3iJeXfH5zsRQzQnlXS0qwk?authuser=0&hl=en&rclk=1,Le Cafe,4.4,"-2,432",other,"Jewel of chembur, 1st Road, Opp Bmc OFFice, Near Natraj Cinema",19.0615942,72.899741
https://www.google.com/maps/place/Boojee+Cafe/data=!4m7!3m6!1s0x3be7c950382c58a5:0x31ebdefaca4c2e32!8m2!3d19.0606124!4d72.8244413!16s%2Fg%2F11hzhfyyzf!19sChIJpVgsOFDJ5zsRMi5Myvre6zE?authuser=0&hl=en&rclk=1,Boojee Cafe,4.7,"-3,104",other,"Shop No 6, New kantwadi, Off, Perry Cross Rd",19.0606124,72.8244413
https://www.google.com/maps/place/Pali+Village+Caf%C3%A9/data=!4m7!3m6!1s0x3be7c9149fb7f017:0xacaac82ab61a1561!8m2!3d19.062202!4d72.8293888!16s%2Fg%2F1tlvm_kd!19sChIJF_C3nxTJ5zsRYRUatirIqqw?authuser=0&hl=en&rclk=1,Pali Village Café,4.3,"-1,727",other,"10, Pali Mala Rd",19.062202,72.8293888
https://www.google.com/maps/place/Kala+Ghoda+Cafe/data=!4m7!3m6!1s0x3be7d1c30a9927b9:0x93f817f1a8e74b23!8m2!3d18.9284954!4d72.8322067!16s%2Fg%2F1td7516y!19sChIJuSeZCsPR5zsRI0vnqPEX-JM?authuser=0&hl=en&rclk=1,Kala Ghoda Cafe,4.4,"-4,352",other,"10, Rope Walk Ln",18.9284954,72.8322067
https://www.google.com/maps/place/Cafe+Istaa/data=!4m7!3m6!1s0x3be7c8d3690e6127:0xdae277b0048abce2!8m2!3d19.04191!4d72.8611228!16s%2Fg%2F11b8t77glf!19sChIJJ2EOadPI5zsR4ryKBLB34to?authuser=0&hl=en&rclk=1,Cafe Istaa,4.5,"-4,208",other,"New CHS Ltd, 12A/1, RL Kelkar Rd",19.04191,72.8611228
https://www.google.com/maps/place/Birdsong+Organic+Cafe/data=!4m7!3m6!1s0x3be7c940815e3331:0x7a6d5f4613104903!8m2!3d19.054033!4d72.8275039!16s%2Fg%2F1pp2twzrk!19sChIJMTNegUDJ5zsRA0kQE0ZfbXo?authuser=0&hl=en&rclk=1,Birdsong Organic Cafe,4.1,"-2,178",other,"Jenu Jenai, Off. Hill Road, Shop No. 1-5, Waroda Rd",19.054033,72.8275039
https://www.google.com/maps/place/Grandmama%27s+All+Day+Cafe/data=!4m7!3m6!1s0x3be7c9a2a9fa620b:0x6d4348a182244a0e!8m2!3d19.053038!4d72.897681!16s%2Fg%2F11cs6b7g73!19sChIJC2L6qaLJ5zsRDkokgqFIQ20?authuser=0&hl=en&rclk=1,Grandmama's All Day Cafe,4.2,"-9,911",other,"Ground Floor, Sunny Estate, Sion - Trombay Rd",19.053038,72.897681
https://www.google.com/maps/place/Leopold+Cafe/data=!4m7!3m6!1s0x3be7d1c0fb6b23a9:0x1ccd311198f0c5a2!8m2!3d18.9226402!4d72.8316401!16s%2Fm%2F04zww53!19sChIJqSNr-8DR5zsRosXwmBExzRw?authuser=0&hl=en&rclk=1,Leopold Cafe,4.2,"-28,093",other,"Police Station, Shahid Bhagat Singh Road, Colaba Causeway, near Colaba",18.9226402,72.8316401
https://www.google.com/maps/place/Mumbai+Bistro+-+The+Cafe/data=!4m7!3m6!1s0x3be7cec3c1d37e3f:0x78bf5e5f0855e454!8m2!3d19.0163364!4d72.8351475!16s%2Fg%2F11dfgmzjkk!19sChIJP37TwcPO5zsRVORVCF9ev3g?authuser=0&hl=en&rclk=1,Mumbai Bistro - The Cafe,4,"-1,457",other,"Shop No.3, Building by, SUGEE SADAN by SUGEE GROUP, Gokhale Rd",19.0163364,72.8351475
https://www.google.com/maps/place/Poolside+Cafe/data=!4m7!3m6!1s0x3be7c8a5efce1f81:0xb45ae86d0abbe42!8m2!3d19.052716!4d72.8920261!16s%2Fg%2F1s049zp_8!19sChIJgR_O76XI5zsRQr6r0IauRQs?authuser=0&hl=en&rclk=1,Poolside Cafe,3.8,-6,other,The Fern Residency,19.052716,72.8920261
"https://www.google.com/maps/place/Grandmama%27s+Cafe,+Dadar+East/data=!4m7!3m6!1s0x3be7cede9b21ed89:0x558fbfc5f400023c!8m2!3d19.0168049!4d72.8461869!16s%2Fg%2F11bwkxh23k!19sChIJie0hm97O5zsRPAIA9MW_j1U?authuser=0&hl=en&rclk=1","Grandmama's Cafe, Dadar East",4.1,"-8,016",other,"Dharamputra Pritam Estate, 20 & 21, Dr Baba Saheb Ambedkar Rd",19.0168049,72.8461869
https://www.google.com/maps/place/Farmer+cafe/data=!4m7!3m6!1s0x3be7c913a043cfe1:0x8df5ba29e8ec0b83!8m2!3d19.0671729!4d72.8329343!16s%2Fg%2F11f03qwfd1!19sChIJ4c9DoBPJ5zsRgwvs6Cm69Y0?authuser=0&hl=en&rclk=1,Farmer cafe,4.3,"-2,903",other,"Shop No.1, Celeste Bldg, Plot No. 470, Kinchin CHS, 14th Rd",19.0671729,72.8329343
